"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","se_alpha_aq","se_beta_aq","se_gamma_aq","alpha_tr","beta_tr","gamma_tr","se_alpha_tr","se_beta_tr","se_gamma_tr"
"11424-32","light",500,0.198,1.04006359034595,0.231566100605707,0.371455499477444,1.04531105990474,0.201403115471926,0.377684143917004,0.0657835764145968,0.0940330337233189,0.0911176466546426,1.04379826164767,0.207281350453632,0.377732194834048,0.0659375596398059,0.0956682482132675,0.0910008443765233
"11424-33","light",500,0.176,1.10975949893694,0.484472434645779,0.0790992921658291,1.15129218257407,0.359423455152528,0.0967013263561968,0.0649606190540413,0.0792567819635988,0.090431195334807,1.14060252039691,0.400994358790403,0.0998778235590869,0.0658539955762777,0.0889416072302731,0.0902947931131795
"11424-34","light",500,0.16,1.0709269162591,0.537331447696836,0.125105407452763,1.05529277579086,0.606465284192,0.0823947937193769,0.0707528721047501,0.0770166485134884,0.097882927478506,1.04026427816396,0.660227999340934,0.0949058054225759,0.0720778647326998,0.0872982187259378,0.0981241821321081
"11424-35","light",500,0.156,1.01376753028958,0.54923432757858,0.222845564721305,1.02282530244402,0.535259659614331,0.210244727054177,0.0677216698730234,0.0850398151104788,0.0934344480539483,1.01478750940775,0.565050692092412,0.21283367696211,0.0681709945284371,0.0895245520353409,0.0933057875678541
"11424-36","light",500,0.18,1.01157517620609,0.463884762955211,0.295600252165705,1.03795338568481,0.385261788105242,0.33786749102819,0.0695736719635941,0.0756871164925933,0.0962397304801765,1.03193860059379,0.405996183864476,0.340186897605345,0.0700402529855391,0.0801441233749043,0.0961611442287236
"11424-37","light",500,0.234,0.963920548031958,0.420803543901002,0.43014733901892,0.968446342389324,0.373692241308468,0.410599642294886,0.0730256548520431,0.0654051417690584,0.0986178692568693,0.941985206030977,0.458217481666046,0.411026755167851,0.0742954561630423,0.0786561313682171,0.0983475287338749
"11424-38","light",500,0.152,0.984264586840788,0.628085987705267,0.285520071032236,1.02426281084408,0.536754806147352,0.305675555798241,0.0686079787976867,0.0840620597764348,0.0958034410553751,0.998854043204055,0.624432300440022,0.303753595907224,0.0700971501129652,0.0972453555361161,0.0958066556125007
"11424-39","light",500,0.134,0.996275285215691,0.579821281720673,0.229738193738262,0.966768907498392,0.688375723111716,0.206010765612311,0.0699462873978633,0.0793368788773117,0.0956152918915379,0.955278346923999,0.72803904112991,0.20501719716342,0.0703069614245339,0.083395243603584,0.0955299659221174
"11424-40","light",500,0.172,1.01417707195256,0.558022980506947,0.154108084410102,1.07083592162024,0.368744394448449,0.148589458966717,0.0644836753234201,0.0553017420010925,0.0967896633376942,1.02948571762802,0.501431265012063,0.143445062171923,0.0660022814651983,0.0722707702978302,0.0963945574823006
"11424-41","light",500,0.152,0.946165487217213,0.64156496554649,0.346088030764995,0.953988495450498,0.59236414449316,0.343144584227468,0.0685290822526581,0.069956566377135,0.0942876958267505,0.916149330535116,0.744027527805016,0.34062277727352,0.0699544324036736,0.0869802767552275,0.0941921497081323
"11424-42","light",500,0.166,0.9846402234994,0.60190459695064,0.30852813873803,1.01221072706438,0.499379828618612,0.294762737873755,0.0667546197557329,0.0571703732292372,0.100469527058533,0.970219271977097,0.681014689035226,0.282461130433795,0.0681823499551635,0.0796921375528398,0.101543706753392
