"sim","censoring","n","distX","B","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_weibull","beta_weibull","gamma_weibull","se_alpha_weibull","se_beta_weibull","se_gamma_weibull","alpha_expo","beta_expo","gamma_expo","se_alpha_expo","se_beta_expo","se_gamma_expo","alpha_drop","beta_drop","gamma_drop","se_alpha_drop","se_beta_drop","se_gamma_drop","time_weibull","time_expo","time_drop"
"11424-40","heavy",500,"normal",50,0.5,1.13788065514549,0.34486841035759,0.315431433380651,1.67297476671809,0.0206792240564803,0.443553089510257,0.125748281456459,0.0899915358912726,0.124193657246176,1.66723321214677,0.021236195818141,0.443798229525744,0.136886866724975,0.0953894404822602,0.123672893571005,1.66789630028384,0.0261643430867227,0.439686918114183,0.132244200051134,0.0875905270395899,0.129338508145865,357.635999999999,361.775000000001,358.188000000002
"11424-41","heavy",500,"normal",50,0.486,1.11029242498935,0.411405954894591,0.346828808257886,1.61043849011578,0.111633355495594,0.469716550455286,0.129718561216035,0.0856816447772923,0.121917022736263,1.57759340502208,0.129064387371318,0.486994632273773,0.140713292539888,0.0911161441870564,0.136341989536003,1.58672582819034,0.113888417633979,0.475293762323785,0.132511050341428,0.0889859764436836,0.132294268355705,353.555,353.466,352.725999999995
"11424-42","heavy",500,"normal",50,0.498,1.06853637373679,0.433567981421168,0.386056467674587,1.53396917231476,0.168624548906593,0.531308427928797,0.148517842974525,0.101141117091387,0.147236637612788,1.53377845253798,0.170239986456175,0.537603501951175,0.134981093151557,0.0930012775921278,0.141551363894853,1.49762121486832,0.185985950577286,0.548643696117271,0.160009008811252,0.103042739983448,0.140554732016724,356.792999999998,358.728000000003,358.193999999996
"11424-43","heavy",500,"normal",50,0.486,1.08117468479341,0.498233504314011,0.175324443789107,1.69645358748635,0.0892594541978424,0.432412481184909,0.150121142081223,0.0920332303398082,0.129386890141601,1.66838957055547,0.126515597412591,0.423495961888116,0.143181843707809,0.0916261798135227,0.135485606494572,1.67722103460727,0.107481490497087,0.424869002961606,0.139277663364041,0.0957033444726714,0.137895923286557,352.290999999997,351.453000000001,349.370999999999
"11424-44","heavy",500,"normal",50,0.508,1.04988264931494,0.545401623473935,0.168398417554522,1.77338605272139,0.0889730573598796,0.396082828212293,0.144649450046908,0.106543911396893,0.141035067749927,1.76496281428904,0.100302475203254,0.407733859495146,0.150993398374388,0.107747615954831,0.12684112151571,1.76253643039119,0.088369562959183,0.426114570479191,0.147900216571684,0.102432527401457,0.136304636817508,376.578000000001,372.495999999999,373.642
"11424-45","heavy",500,"normal",50,0.542,0.864343205702104,0.618241109934376,0.236496173720847,1.75487235119767,0.0504854933783567,0.530416724165444,0.144868956804093,0.0987268720098317,0.137567471790905,1.73986148954622,0.0494279756273878,0.540620971270233,0.140467692779099,0.0929923804552029,0.146063124535868,1.74770415414706,0.0524206005344519,0.542979614124395,0.14696161355558,0.0983213823953894,0.137108423991189,392.218000000001,388.894,384.070999999996
"11424-46","heavy",500,"normal",50,0.512,1.18256091590059,0.430109112878283,0.0964541667760992,1.78532746753123,0.046022561864915,0.307155694818288,0.147716381012625,0.0974451726180367,0.148512322369613,1.81060196565449,0.0383448644325467,0.277035521246729,0.130954445674525,0.0933067674443459,0.133680190442828,1.77938801326886,0.0550985227174659,0.287484128976202,0.12689780023743,0.0876000239880174,0.122474407519968,369.379999999997,364.415999999997,367.698000000004
"11424-47","heavy",500,"normal",50,0.508,0.92052254534222,0.53948528271031,0.169325178543936,1.39285044122277,0.285696490665181,0.354301252140335,0.124178996701864,0.0869606754613552,0.110188246873572,1.38312084707444,0.282667298948433,0.374216086494907,0.126538741166548,0.0967036282538768,0.124540831116494,1.36872210922939,0.30335361294064,0.357759913920818,0.118295464857938,0.0817996138020119,0.117756793517756,367.957999999999,370.796000000002,367.086000000003
"11424-48","heavy",500,"normal",50,0.496,1.08674629144038,0.423824663808433,0.306855723514305,1.56498229959061,0.120287453370888,0.473829352352287,0.156716037227727,0.107282695603941,0.141906739552818,1.59379487838579,0.09659632325557,0.489348873121872,0.1655214288088,0.103740409022497,0.149289150533635,1.58761470389427,0.0878057642810137,0.526357154051169,0.150455374285391,0.106913451107084,0.137287386475365,359.273000000001,358.370000000003,355.205999999998
"11424-49","heavy",500,"normal",50,0.49,1.17208582045814,0.408976132241719,0.214420611930687,1.69719280432809,0.0874410409415063,0.377993016217798,0.143412070658822,0.090337884787168,0.129657128172638,1.67378636013716,0.11693984066373,0.35924910868542,0.131896309568356,0.0934700716183633,0.135465433482901,1.67425233279976,0.108966999019312,0.376674508810836,0.130183724354989,0.0883213836660203,0.118865536142359,357.572,356.519999999997,358.195
"11424-50","heavy",500,"normal",50,0.498,1.2360802717468,0.454194685056087,0.0820275532218865,1.75440806961515,0.140484451671961,0.27792880396598,0.1587728682623,0.10292036968733,0.128283532134138,1.7302305638881,0.141479463710211,0.323951831656552,0.133258629520815,0.0892763552780745,0.130996780181457,1.74444388849062,0.13971813018622,0.293862250741459,0.12691795958582,0.0913694225131174,0.135933240118144,363.325000000004,363.650000000001,360.976000000002
