"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","alpha_extrap_pooled","beta_extrap_pooled","gamma_extrap_pooled","nse_alpha_extrap","nse_beta_extrap","nse_gamma_extrap","bse_alpha_extrap","bse_beta_extrap","bse_gamma_extrap","ese_alpha_extrap","ese_beta_extrap","ese_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","alpha_extrap_no_pooled","beta_extrap_no_pooled","gamma_extrap_no_pooled","nse_alpha_extrap_no","nse_beta_extrap_no","nse_gamma_extrap_no","bse_alpha_extrap_no","bse_beta_extrap_no","bse_gamma_extrap_no","ese_alpha_extrap_no","ese_beta_extrap_no","ese_gamma_extrap_no","time_extrap","time_extrap_no"
"11423-21","heavy",2000,0.492,1.02583350196909,0.414988518097388,0.269123330000308,1.08982465436179,0.268901001844357,0.360783205362061,1.092030382376,0.267937506563017,0.360183942287487,0.034919573721251,0.0559930455726105,0.0473127243210111,0.0488477857721449,0.0801455105715696,0.0681161879850928,0.0341493110735281,0.057263775029688,0.0490382560895075,1.0075983134181,0.451017543651053,0.300367127157673,1.00746451651055,0.451810139606417,0.295678971236583,0.0384723676712941,0.0656689641450598,0.048538121435722,0.0523423627366806,0.0944096353603359,0.0689579039535978,0.0355408277051746,0.0679075831069424,0.0490280376475349,48.7269999999999,1.78499999999985
"11423-22","heavy",2000,0.478,0.99042503304428,0.488629504567333,0.265397045011972,1.02272288476176,0.4493796130915,0.35571179579167,1.02219725179082,0.451262971758082,0.352599005129342,0.034884253377014,0.0554097530995241,0.0459427302409248,0.0481719364348698,0.0813041231245741,0.0640406970253798,0.0332519895527072,0.0594216357766824,0.0446667182062629,0.918800098411849,0.724050740543588,0.239536455633307,0.918613182467507,0.72638751805494,0.233766621643837,0.0371411377037229,0.0655632259507774,0.047474276353794,0.0524715866100004,0.0930543146538048,0.0658018069597748,0.0370525319437189,0.0659865619628265,0.0456029335401866,47.6300000000001,1.73300000000017
"11423-23","heavy",2000,0.477,1.01461494875363,0.504040011032052,0.253898490964876,1.05153435033181,0.512886173991399,0.335491497853403,1.05414974359312,0.508978409866271,0.334530296934848,0.0355416830349081,0.0665626121068642,0.0471923939550631,0.0485255669360563,0.0965500473336936,0.0671101111518547,0.0330486243032584,0.069841595978852,0.0477363101338796,0.972068642007851,0.633814201394064,0.24933746921669,0.973410928887156,0.634104849660325,0.246097406318561,0.037930832253548,0.0664796574389989,0.0486373638249696,0.0535282703216163,0.0946051010731096,0.0688164410545216,0.0378468713418423,0.0673659335496311,0.0487484832981601,47.1910000000003,1.61000000000013
"11423-24","heavy",2000,0.472,0.986211758149947,0.475436876872345,0.234094986809469,1.04058638157623,0.329746426808196,0.326724240672275,1.04205909139617,0.328707345099232,0.323078927079185,0.0350855791630486,0.0542776853847641,0.0467696625669878,0.0479928495703569,0.0751354011242607,0.0653064070610377,0.0327792649921966,0.0520374112791796,0.045625777191406,0.962822126681751,0.559039406859174,0.264715410897321,0.962297019222436,0.560632688953426,0.263570757166614,0.037562672767977,0.0681226901647298,0.0477526767458175,0.0551235146380664,0.0969087917771806,0.0674457250559582,0.0403511814715086,0.0688816469755884,0.0476723101986601,43.152,1.64499999999998
"11423-25","heavy",2000,0.4915,1.01888788132414,0.516147637036884,0.216360527728662,1.07563935646039,0.443784108952988,0.326703422168881,1.07455011813773,0.444976094206485,0.32723837462988,0.0353958322644228,0.0585580710706583,0.0466659691027395,0.0489540887973304,0.0816314740752043,0.0653874466852229,0.0338716574812881,0.0568520884107808,0.0458550459737157,0.991763218484069,0.587896967454148,0.237059008855995,0.992597875077819,0.587099762787882,0.238528403586356,0.0380336418966544,0.0626039714711686,0.0482974379607842,0.0541059921847258,0.0885679577317703,0.0662458304833883,0.0384786375245871,0.0625786596038453,0.0453142511528656,49.009,1.67000000000007
"11423-26","heavy",2000,0.4815,0.989712217956761,0.542121202653167,0.220598724626443,1.05326671176137,0.404332834520659,0.289621749474837,1.05374761060274,0.403144554985035,0.28993389376041,0.035937469785752,0.0520433783486021,0.0496508756102709,0.050557800075297,0.0756495701559125,0.0685978333155093,0.0355683101527953,0.0549043646967468,0.0473519787163099,0.951602596403192,0.671072121399795,0.221402385634127,0.95177427557597,0.674271896842765,0.220093512204919,0.0388417203914435,0.0669583013070492,0.0503723321709823,0.0526943276907555,0.0942389663288533,0.0721080103090569,0.0356353818124383,0.0663088865719512,0.0516116552403727,43.6200000000003,1.61499999999978
"11423-27","heavy",2000,0.4755,0.996581233264651,0.477878014152961,0.253415960782469,1.02553843228608,0.467685739737037,0.288201180585182,1.02409422770668,0.4672277475654,0.289681677023791,0.0363352234760992,0.0663906306568776,0.0484226676553273,0.0506086901424456,0.093591709151026,0.0679176700413774,0.0351988437721846,0.0659066304872716,0.0475842205112675,0.995537745639723,0.53034620169241,0.263652391639144,0.996920891897559,0.529553265746695,0.264424596504907,0.0379730968488489,0.0724110846867218,0.0492543566318519,0.0532306819575091,0.10220358131551,0.070458836890845,0.0373464566331004,0.0720664809965997,0.0503687125369492,38.2280000000001,1.61400000000003
"11423-28","heavy",2000,0.4595,0.986570595321238,0.505075769600386,0.261603129222928,1.09721781507801,0.204670182524108,0.366774319275838,1.09602617915154,0.208813616356992,0.366544763744216,0.0361352157442937,0.0664753139484609,0.0466203780393982,0.0505647588515095,0.096773427124626,0.0669058123662343,0.0353877949316865,0.0699999551307837,0.0480298282526203,1.02305489095848,0.432450767250145,0.283299108550916,1.02159870778673,0.430880080218038,0.283558169211479,0.0377329187055001,0.0670885106586828,0.04852472543042,0.0539949211468129,0.0933561994921816,0.0660192473853986,0.0386321793351369,0.0649414278147524,0.0448270840890702,45.7400000000002,1.60400000000027
"11423-29","heavy",2000,0.483,0.993659770181296,0.493887906895823,0.279921563593198,1.05187757390612,0.329032218433522,0.365497036671035,1.05307377725704,0.324938306257981,0.362423390328672,0.0353076809031949,0.0527322211141936,0.0487925242136599,0.0507498696720517,0.0795072245582256,0.0701255384518749,0.0365181208001275,0.0594955210305612,0.0504592161515102,0.998414613690144,0.449018929008143,0.314184537877755,0.998734305211168,0.451487289431926,0.312904728301572,0.0379395301513666,0.0636950034173605,0.05040746857929,0.0539936934251215,0.0915385433958316,0.068990002493498,0.038423916278057,0.0657183892897271,0.047091143338698,44.1109999999999,1.61599999999999
"11423-30","heavy",2000,0.4975,1.02027973291009,0.495711951728861,0.242617952144089,1.10238354896787,0.361675871655744,0.359154805217456,1.10570473161531,0.354900549224569,0.358167967489567,0.0349417575889051,0.0588456845274235,0.0466780724820484,0.0486468650762942,0.0844723838783047,0.0662888124322821,0.0338189400817218,0.06038527072597,0.0470403207894476,1.01530918641038,0.479583761915397,0.265433791594435,1.01334202540442,0.483944573551069,0.264118829602047,0.0380517085113086,0.0584872227319526,0.0485855295479699,0.0520088641525239,0.0827305875402284,0.0689176868642347,0.0355279185865743,0.0586292843948276,0.0489660915324,48.9680000000003,1.62599999999975
"11423-31","heavy",2000,0.4775,1.03934794575678,0.489383114008912,0.252750509040704,1.09917143292708,0.333791421772833,0.348799061534791,1.10035028180788,0.331600707178139,0.348574128925987,0.0351806678603225,0.0536258595301355,0.0466131240286191,0.0510606395356095,0.0771323556565442,0.0654904861219366,0.0369940047851141,0.055210770570164,0.0460321106979577,1.01451106166928,0.553193246624729,0.260934966752174,1.01327053555082,0.554978035458572,0.260478951921255,0.0376973159876995,0.0642677935935551,0.0481958487510965,0.0538347545480352,0.0926798397055725,0.0693448268185058,0.0384403429503905,0.0667173200448115,0.049858254791713,46.5740000000001,1.7489999999998
"11423-32","heavy",2000,0.489,0.95670798461973,0.468576907481131,0.298271509618509,0.981884468296505,0.503393441758519,0.318391414226103,0.979958797931369,0.503796340325238,0.319297817449297,0.0364232729532697,0.0661099169235248,0.0478651692931552,0.0522924564818955,0.0956792576490339,0.0677515129886028,0.0375310077493936,0.0690914831861831,0.0479553118516783,0.917558218449713,0.655252628618228,0.285241098761048,0.9185491443484,0.654181400531432,0.287385440613751,0.0390486192606465,0.0757828984428949,0.048358691418943,0.0574765641494788,0.107572196290374,0.0688271793424109,0.0422762717108962,0.0764792288126686,0.0491103132093975,41.4929999999999,1.64899999999989
"11423-33","heavy",2000,0.5035,0.989945654673295,0.487083093586977,0.271942210792731,1.06945640655452,0.355378294243475,0.391682586164522,1.07009225491673,0.352809995504976,0.394131976834853,0.0362925073712272,0.0667888572159714,0.047486325900727,0.0513665437522643,0.0947598626138532,0.0672064460750058,0.0363230913894586,0.0668225992256224,0.0475416815984578,0.959973660088518,0.576428502183449,0.276777804908019,0.961630354037289,0.575676545909631,0.275633435554651,0.0393351891256082,0.0665228894707341,0.0495371197170658,0.0540021021076469,0.0958093320071028,0.0693070720622599,0.0369694187278738,0.0689093021837865,0.0484276698338223,50.3040000000001,1.62599999999975
"11423-34","heavy",2000,0.4895,0.992932170737131,0.514499343688266,0.233089722889004,1.04800633679571,0.409913380135866,0.327152602005399,1.04945239613597,0.408740614436023,0.325814314437156,0.0351612554162847,0.0591112839806368,0.0469776309187631,0.0482714914257746,0.085918274186961,0.0658546525651978,0.0330240829868295,0.0621591307189755,0.0461001562155849,0.979437034128592,0.535627623158517,0.258055784741214,0.975095826708418,0.543590206966424,0.257965473453135,0.0379239898177636,0.0648883937126324,0.04850200411203,0.0533248155166498,0.0909197570064116,0.0685221369169126,0.0374614697777586,0.0635493715112521,0.0483617983967244,46.5930000000003,1.66200000000026
"11423-35","heavy",2000,0.4875,0.973895959913864,0.488555965280101,0.226738323279118,1.05396004411187,0.289487288349621,0.359820399688491,1.0517756394362,0.289763091466458,0.362681780442317,0.0355930775775364,0.058021546813013,0.0475608309922229,0.0494151311858294,0.0845939836239413,0.0663515567150109,0.0342668129120932,0.0615960076334295,0.0462377217611069,0.976105970097768,0.415028909991336,0.269969724448878,0.97537930059089,0.41540634518861,0.269379784209604,0.0383431263075331,0.0573767907575039,0.0496059654033733,0.0543941418264201,0.0804458802680353,0.0693062508904639,0.0385472342977875,0.0563390149245145,0.0483971062631828,48.241,1.61399999999958
"11423-36","heavy",2000,0.4995,0.997047702492912,0.534319909907422,0.218118052658754,1.06407032399331,0.394331510425242,0.274943872892297,1.06384121317233,0.395933467820116,0.275433818394121,0.0357654891028078,0.0559387910203214,0.047939294151759,0.0502259693566763,0.0770565619621286,0.0667653257693668,0.0352911954675625,0.0530749620331264,0.0465109872588463,0.994167691401846,0.556356909085109,0.213148634976086,0.992725336235897,0.557833478596043,0.215146184037571,0.038331111678357,0.0659143643438691,0.0493355010665357,0.0546821672039423,0.0904226445534711,0.0691949247332134,0.0389823012882327,0.0618613918767201,0.0485366562176895,45.6349999999998,1.6579999999999
"11423-37","heavy",2000,0.485,1.00743761158152,0.433790394327934,0.279638147044744,1.0384118802576,0.409926068726864,0.334470249497473,1.03823481114119,0.409909321038771,0.334150269774224,0.0357739278749567,0.0612350956025616,0.0475041863051001,0.0520630877799946,0.0891228569092814,0.0670463738477121,0.0378535850945043,0.0647689053919865,0.0473465953960685,0.988568161305466,0.515099545583992,0.299993473514057,0.989417167837126,0.514893927572901,0.298828370608654,0.0380652573146684,0.0689395054333418,0.0483780943812417,0.05423190724027,0.0992952537953609,0.0679577074989863,0.0386018311786754,0.0713953075574961,0.0476637947572308,43.4069999999997,1.6260000000002
"11423-38","heavy",2000,0.4825,1.01620277032119,0.539703147804011,0.187802242288927,1.08062536327746,0.442629448878018,0.323555322991443,1.08114004351422,0.439902251068853,0.321650407521562,0.0344317066075416,0.0658995494813414,0.0445353363255103,0.0462728108689773,0.0995512715859147,0.0600453317562744,0.0309218835939787,0.0744885431428308,0.0403135593672624,1.00767246649234,0.547133295927414,0.234934342852825,1.0093365525739,0.542359289146213,0.233105645606567,0.0368085970451642,0.0636569674145871,0.0460408452620244,0.0523625248312718,0.0919674211470853,0.0648581854704793,0.0372554613905556,0.0663563424762295,0.045698279973892,47.5720000000001,1.64400000000023
"11423-39","heavy",2000,0.4775,1.02012479960133,0.42973602043131,0.275099753957337,1.09105507665818,0.286294563941935,0.371366460580769,1.09044827174404,0.287266705890334,0.37154341753435,0.0350217515242027,0.0604500508907996,0.0475121777637138,0.0501321841351924,0.0901597082328861,0.0685440328695741,0.0359164402335247,0.0667371182852533,0.0494836020611621,1.01071743040662,0.498453071206317,0.283412120018823,1.01135450903095,0.495082642550741,0.285475109391319,0.0378881127813155,0.0698395770136511,0.0497361699501868,0.0534953168086028,0.0999533722466697,0.0689271293046741,0.0377916648553345,0.071460677296193,0.0477064714348769,47.7649999999999,1.78400000000011
