"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","alpha_extrap_pooled","beta_extrap_pooled","gamma_extrap_pooled","nse_alpha_extrap","nse_beta_extrap","nse_gamma_extrap","bse_alpha_extrap","bse_beta_extrap","bse_gamma_extrap","ese_alpha_extrap","ese_beta_extrap","ese_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","alpha_extrap_no_pooled","beta_extrap_no_pooled","gamma_extrap_no_pooled","nse_alpha_extrap_no","nse_beta_extrap_no","nse_gamma_extrap_no","bse_alpha_extrap_no","bse_beta_extrap_no","bse_gamma_extrap_no","ese_alpha_extrap_no","ese_beta_extrap_no","ese_gamma_extrap_no","time_extrap","time_extrap_no"
"11422-41","extra_heavy",500,0.832,0.918877485827366,0.561534447985589,0.300891022459811,0.916073013611355,0.596846652052361,0.186839088081822,0.92036549904829,0.595289424068687,0.185957066681504,0.0933255576815538,0.188394734337195,0.12475842767535,0.125200842378497,0.249319829256059,0.167635922614546,0.0833499108107859,0.162238340141635,0.111486284320961,0.793100806776385,2.16363193299013,0.365417233007384,0.790815559905964,2.19240021392608,0.361223581341391,0.131148777313223,0.743688366390476,0.0990909999795856,0.171165810579452,0.987985920150108,0.137522111066905,0.109890090502201,0.65001007988237,0.0953408366377226,4.21999999999997,0.569000000000017
"11422-42","extra_heavy",500,0.808,1.0909488465934,0.407770561850945,0.213142693844922,1.10295569980909,0.180057650099904,-0.0223049417248623,1.10202208823953,0.183468039685569,-0.0287258943434079,0.072791924857277,0.0550272531362297,0.147847882730728,0.10194228383281,0.0758940598935467,0.202282813805005,0.071454490996759,0.051794577481449,0.136855203540033,0.920440489145724,1.93313997085534,0.257252633215641,0.922002560232516,1.95449795846156,0.253984128343967,0.109779955236629,0.585958139061683,0.0954254199208339,0.145089966708617,0.794262181599684,0.134968801210631,0.0948955451969005,0.536211450514926,0.0956665264750436,2.21100000000001,0.564999999999998
"11422-43","extra_heavy",500,0.814,1.0737286967288,0.473505086610461,0.0908880573933797,1.16016292674292,0.0849897248647907,0.068720098110527,1.1549728392417,0.0876566205136401,0.0680554902868434,0.0812715804244693,0.0616288688197776,0.146470285579759,0.110784371005976,0.0827138596644083,0.196304317710548,0.0753082722453599,0.054856347539756,0.130131083086954,0.991599012300581,1.17312094960489,0.141317485902016,0.987803004248518,1.17385999175903,0.145977807875181,0.119797413052483,0.506193519454043,0.103367431056134,0.162330472125117,0.688389076222608,0.143186981990276,0.109494910903465,0.466706858547009,0.0990400344587089,2.47399999999999,0.576999999999998
"11422-44","extra_heavy",500,0.806,0.996096568066833,0.571295684894173,0.159535004315894,1.01974276342991,0.560358951843675,0.00384922710920766,1.01526757283745,0.572099314302659,-0.00127264285643656,0.0784624093225746,0.181352269598338,0.132856555302278,0.106246074926224,0.253754720991559,0.183307713663978,0.0716208038131027,0.176922064101254,0.125945126404889,0.85416206807904,2.23861969873351,0.18885741416928,0.854446305264895,2.25155177934838,0.186078876998321,0.112074550093917,0.663021431288697,0.096210393740267,0.157215357479181,0.942302874464732,0.133541297003867,0.110033097069415,0.667643460708485,0.0925654831720161,4.14999999999998,0.574000000000012
"11422-45","extra_heavy",500,0.798,0.949247388036342,0.565903603875448,0.264673319399814,0.897046625890413,0.973090386375097,0.260181178534054,0.895506137846565,0.971221046289494,0.265314348525258,0.0998189740820167,0.345477805819583,0.110493075285936,0.146096725662724,0.492485426474871,0.155407080517683,0.106302516090232,0.348881964644326,0.108983667303419,0.869759268638099,1.34500362653297,0.344830517208276,0.870642003672191,1.3306069192561,0.3489090161992,0.113683233215375,0.523562554316239,0.0992557885194003,0.172166609124061,0.772189378533205,0.141147013239429,0.128945073754137,0.565795648005692,0.100401136887632,5.12899999999996,0.581000000000017
"11422-46","extra_heavy",500,0.826,0.993033911891016,0.590501472689591,0.155514912725998,1.15491728567819,0.125420703590477,0.24377760364701,1.15578508921748,0.122694122097668,0.2454881622819,0.0847846723896783,0.201103018816127,0.148592534754513,0.125155110617291,0.276256837216977,0.205924305449545,0.0919783458726605,0.188167283305595,0.14181980733292,1.11833090410624,0.584298519325856,0.294773662106113,1.11667426641748,0.589217922323363,0.2961481011493,0.134953516672664,1.00058474081775,0.102576354067372,0.19340906004013,1.43075608432951,0.143750949771069,0.13803452826396,1.01947301850272,0.100832733674364,4.26800000000003,0.593999999999994
"11422-47","extra_heavy",500,0.832,0.98887062433607,0.453407220706067,0.256413568574353,0.954760184378208,0.629644854988348,0.251544360924222,0.957464387055498,0.60770689158627,0.25518958535815,0.100624047475103,0.302468109706385,0.122041967952874,0.146836117437602,0.436754435441916,0.172168273772966,0.106744210900414,0.314307939843725,0.121390974282053,0.810396672087622,1.97356673144797,0.341310432918634,0.810178499933093,1.95949466962439,0.345089376356382,0.134625974162967,0.768495533598435,0.0988272950024534,0.194386213508832,1.11049958210526,0.140874430559763,0.14045205114146,0.802748383663623,0.100371027369835,5.48000000000002,0.564000000000021
"11422-48","extra_heavy",500,0.808,0.907051522472789,0.616223555718871,0.133575451207668,0.917693187568223,0.450291241348889,0.194413384455213,0.920105550595934,0.45242113442332,0.193749357092654,0.100818386718067,0.181439049197448,0.112607611943555,0.133954048764743,0.251216041847392,0.159982204686145,0.0876013527767974,0.172343043452453,0.113041784259602,0.846002259223531,1.53637920413045,0.286412237393024,0.846927699842135,1.53327472249205,0.289333212164853,0.12783801711599,0.655485164484739,0.100134099784535,0.174031447315471,0.915494777881386,0.142648627150209,0.118308122418668,0.640120641332045,0.101572162030038,3.625,0.57099999999997
"11422-49","extra_heavy",500,0.806,1.03167530787116,0.500763092246689,0.204534926985419,1.03343055308673,0.349601642416631,0.184296503517686,1.0292498427655,0.358471076799489,0.183536430993852,0.0839868942995293,0.13647320139049,0.111759997423679,0.122619438717509,0.19567460038891,0.156145516248533,0.0890257356864519,0.139440447520863,0.10878564565813,0.954646246838002,1.26064320652782,0.29491313865594,0.95517154138478,1.25965263071147,0.297257649381805,0.109956114736292,0.50887761822559,0.093178405402689,0.16173779510726,0.731299928593784,0.133783794200159,0.11817510890029,0.523320350220807,0.0959243024000022,3.77800000000002,0.562999999999988
"11422-50","extra_heavy",500,0.824,1.02414435467784,0.517037097687325,0.151409397158446,0.924345450846939,0.561265693513101,0.195860330712194,0.922943121929138,0.567096628251157,0.193014991206336,0.106243244075571,0.183090604918669,0.103667116508425,0.14505659492715,0.253720563973778,0.147874058639647,0.0984180425700675,0.175036400292869,0.105379425145585,0.844602093295545,2.0973630334822,0.289651270966031,0.849435423211319,2.07402707132283,0.288165358008244,0.130768628628596,0.707508703211205,0.0956233465560598,0.178898497552492,0.973469877123795,0.135124158158864,0.121843073834748,0.668011494761408,0.0956125826960084,3.91300000000001,0.579999999999984
