"sim","censoring","n","distX","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_weibull","beta_weibull","gamma_weibull","se_alpha_weibull","se_beta_weibull","se_gamma_weibull","alpha_expo","beta_expo","gamma_expo","se_alpha_expo","se_beta_expo","se_gamma_expo","alpha_drop","beta_drop","gamma_drop","se_alpha_drop","se_beta_drop","se_gamma_drop","time_weibull","time_expo","time_drop"
"11428-52","heavy",500,"weibull",0.502,1.07063797973708,0.510181446944298,0.161161819452779,1.03217423754994,0.572417631898931,0.239390495384733,0.114473403752584,0.218707674489466,0.131576862067568,1.03170124007623,0.587993950159219,0.23746559757353,0.11360429293507,0.220904071834687,0.132426420832758,1.02196225092228,0.624564739784673,0.244562351932721,0.115251852196773,0.230281383590891,0.133090845983845,NA,NA,NA
"11428-53","heavy",500,"weibull",0.49,0.966216498350166,0.652910300412188,0.0830314702979521,0.966906845357041,0.627722085966524,0.0965101716149161,0.109431948010517,0.190778769101634,0.136857439857737,0.966135854754693,0.652411866082014,0.0990591494510996,0.110539697651919,0.198371382417083,0.137802384054253,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11428-54","heavy",500,"weibull",0.5,0.889336831788204,0.531831815038075,0.23598345270673,0.859804653292417,0.511334884660178,0.243539032156608,0.1023460060939,0.14177361766282,0.137408844077643,0.853310631138902,0.543607574775473,0.259750692302089,0.105561232968083,0.159229630256546,0.13639436933891,0.84101994820139,0.58834992151724,0.27751968071632,0.107666125830649,0.173189079993551,0.135245316572069,NA,NA,NA
"11428-55","heavy",500,"weibull",0.488,0.966757755224607,0.449397770935871,0.32819364912791,0.996687396807836,0.348298236949918,0.355013929226353,0.105191926976125,0.166327385684386,0.139644620854691,0.992770685286758,0.364813757900344,0.366939704823109,0.108210491248701,0.178989262746301,0.139117692422045,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11428-56","heavy",500,"weibull",0.472,1.06647440352973,0.531801286481647,0.261067110575944,1.05214356775787,0.583653370634105,0.303241995642238,0.114769299406507,0.230246994798683,0.138180483594458,1.05692671150533,0.587499883574062,0.302117175002299,0.113693819646316,0.228778003379115,0.137087699246418,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11428-57","heavy",500,"weibull",0.502,1.11088556364058,0.322796007273951,0.241988452659417,1.05509148799302,0.594205009592708,0.206966238242705,0.107952393789267,0.243261859597915,0.136190628890113,1.05456605071336,0.597953684224622,0.209216449327278,0.111293536147993,0.249397332003513,0.138959756057357,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11428-58","heavy",500,"weibull",0.468,1.03063751077095,0.531231939425837,0.231337441323686,1.02586395835865,0.606758148632321,0.287332624306176,0.105007122624982,0.218494696089113,0.134060920148591,1.02772512756803,0.613529564968007,0.28386471723648,0.105425930885434,0.217187957064287,0.133151385126557,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11428-59","heavy",500,"weibull",0.48,0.962904587154715,0.500481596110979,0.198659662788642,1.02804068195119,0.311055462849951,0.301442441384056,0.104888654058577,0.222243740067932,0.135333528350241,1.02404765533358,0.329748406505385,0.297169404516087,0.107471709952454,0.230519961176468,0.134953138314546,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11428-60","heavy",500,"weibull",0.488,1.08283835530165,0.661273624087645,0.186278488251686,1.02092981636551,1.05991111446273,0.178071041200427,0.107941295519377,0.255618488242476,0.137833654282624,1.01557075435619,1.06553886796897,0.176738594072382,0.108174528410559,0.248567109858828,0.138613027238517,1.00797262737416,1.10052876164901,0.201715830604506,0.109700566401531,0.274163727907958,0.137013992011382,NA,NA,NA
"11428-61","heavy",500,"weibull",0.46,1.0378176831314,0.469266260606399,0.277643331255582,1.02621641615915,0.583390124733782,0.304953616533568,0.104331860074978,0.25138144652747,0.144980948929766,1.03088498729887,0.573568775590133,0.304721087382039,0.103140992841669,0.245344786506173,0.143781766327177,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11428-62","heavy",500,"weibull",0.466,0.953891960411487,0.44497059555567,0.317069081206949,0.910204665011543,0.650255095346354,0.314839788624049,0.104487739207228,0.205700814000204,0.137278688996774,0.913808889492239,0.650311711458257,0.323333387805802,0.101016645951184,0.205548976909028,0.132657657472286,0.900623178499007,0.697882551101837,0.32494438552292,0.106652930695573,0.215685333166286,0.132589578680867,NA,NA,NA
"11428-63","heavy",500,"weibull",0.49,0.966978419635893,0.503970409364016,0.274539100075687,0.94352832599662,0.524913443573193,0.300431900286373,0.107132062289778,0.154852242405303,0.137846006611614,0.936628472358568,0.573277749205102,0.307908459310347,0.105726994377314,0.168390387495116,0.136612186747376,NA,NA,NA,NA,NA,NA,NA,NA,NA
