"sim","censoring","n","distX","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_weibull","beta_weibull","gamma_weibull","se_alpha_weibull","se_beta_weibull","se_gamma_weibull","alpha_expo","beta_expo","gamma_expo","se_alpha_expo","se_beta_expo","se_gamma_expo","alpha_drop","beta_drop","gamma_drop","se_alpha_drop","se_beta_drop","se_gamma_drop","time_weibull","time_expo","time_drop"
"11423-17","heavy",2000,"t",0.508,0.980362494262268,0.493575090879059,0.291318196885554,NA,NA,NA,NA,NA,NA,1.31800029826599,0.640076929757795,0.269497487692403,0.0574733751557221,0.0371890786889606,0.0722703405448855,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-18","heavy",2000,"t",0.489,1.04027035675996,0.497306016115559,0.209316124868913,NA,NA,NA,NA,NA,NA,1.3701034028542,0.615707756308146,0.178238169954656,0.0535277999834099,0.0369394278895204,0.0698809872425367,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-19","heavy",2000,"t",0.481,0.990844214447865,0.518040184508085,0.270543148284648,NA,NA,NA,NA,NA,NA,1.35030899945944,0.68432419815769,0.21792581789403,0.0542991954999156,0.0400876755436983,0.0677561799951961,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-20","heavy",2000,"t",0.517,0.960418207636267,0.517662170923559,0.294119760291465,NA,NA,NA,NA,NA,NA,1.31192462631432,0.675428664279602,0.26937209041347,0.0537450853655364,0.0396955556119891,0.0688561603990937,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-21","heavy",2000,"t",0.492,1.02813913384621,0.506337423911778,0.207855300458898,NA,NA,NA,NA,NA,NA,1.37109963519449,0.693441914347826,0.20751995923932,0.0527150629412512,0.0394689510555808,0.0684331221764741,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-22","heavy",2000,"t",0.5045,1.03544118719068,0.507844580321141,0.208267035554448,NA,NA,NA,NA,NA,NA,1.36145305829472,0.636070970096776,0.16352637776169,0.0560069560102839,0.0411475544392518,0.0727149200104894,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-23","heavy",2000,"t",0.4825,0.972679968016472,0.496082926258259,0.314904449497943,NA,NA,NA,NA,NA,NA,1.30603571713501,0.628528395638265,0.266209003335499,0.0535464797439842,0.0325047748984222,0.0687073066704095,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-24","heavy",2000,"t",0.482,1.00656217829134,0.504744124264272,0.24747316798532,NA,NA,NA,NA,NA,NA,1.33856555071206,0.677447661805829,0.239927548928103,0.0544443003120971,0.0351864653181361,0.0686934422196918,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-25","heavy",2000,"t",0.52,1.02557695645083,0.502223461302675,0.231067638254364,NA,NA,NA,NA,NA,NA,1.34915408861722,0.632824063639037,0.220471780398818,0.0521618180730703,0.0369702483048078,0.0682270378855699,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-26","heavy",2000,"t",0.5025,1.00550995312,0.507667623461856,0.269678734449389,NA,NA,NA,NA,NA,NA,1.39654821508379,0.66112364344157,0.198179558987384,0.0527056808825045,0.0346884182798358,0.0692594960007374,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-27","heavy",2000,"t",0.4925,1.01670616583132,0.478867522573626,0.181264888343389,NA,NA,NA,NA,NA,NA,1.35110732230175,0.634903233287401,0.156355514613228,0.0532645796233353,0.0369613235018445,0.0690212494895404,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-28","heavy",2000,"t",0.4915,0.976972713947468,0.489079981665808,0.331991037635568,NA,NA,NA,NA,NA,NA,1.28840986546316,0.614132504887498,0.314816272863815,0.0530409450334015,0.0336775228048589,0.0692857363880597,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-29","heavy",2000,"t",0.495,1.01796784616893,0.520237081628754,0.248318792469486,NA,NA,NA,NA,NA,NA,1.37495146015597,0.690554005146486,0.227419685609438,0.0557599262651991,0.0393767086816737,0.0698407823069837,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-30","heavy",2000,"t",0.5105,0.977608027799461,0.523851960093416,0.272150135910171,NA,NA,NA,NA,NA,NA,1.39001258369682,0.696712586239975,0.181749487593736,0.0549545448536713,0.0393755777193217,0.0711111186227704,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-31","heavy",2000,"t",0.4805,1.00967784677279,0.498197946909304,0.212575301582278,NA,NA,NA,NA,NA,NA,1.37371692665292,0.705848761823135,0.19477682131895,0.0534708659499918,0.0400134290554735,0.0689068935324061,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-32","heavy",2000,"t",0.508,0.986437699646922,0.493355457700833,0.238838255281393,NA,NA,NA,NA,NA,NA,1.30229331483431,0.601965601663821,0.186783871849402,0.0532389128047456,0.0377666339042577,0.0714750615874936,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-33","heavy",2000,"t",0.502,1.00622322440711,0.491929043016517,0.223185684396309,NA,NA,NA,NA,NA,NA,1.34351098427786,0.608331280517684,0.161510904165378,0.0582986758450577,0.0611199627544912,0.0710552556935026,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-34","heavy",2000,"t",0.4825,1.0193132517701,0.488082020637628,0.243620848169978,NA,NA,NA,NA,NA,NA,1.32553566322975,0.587337938269656,0.195575964806615,0.0523833092422295,0.0363249749310895,0.0656778501810825,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-35","heavy",2000,"t",0.5105,0.989502093305832,0.501597571118142,0.257956397811034,NA,NA,NA,NA,NA,NA,1.35319050143081,0.692960763215075,0.235236521831323,0.0523592267488358,0.0416253446338524,0.0678644341630062,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-36","heavy",2000,"t",0.488,1.01073028667441,0.504283330975002,0.210173168462639,NA,NA,NA,NA,NA,NA,1.36005584883068,0.672034341906237,0.190158534884065,0.0538232982076714,0.0410027661413822,0.0699385553220914,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-37","heavy",2000,"t",0.497,1.03812531462063,0.473839006666877,0.178767569566479,NA,NA,NA,NA,NA,NA,1.35427054324602,0.597869124296549,0.165858201405122,0.0505645215984379,0.0338909890948361,0.0670062417777944,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-38","heavy",2000,"t",0.4905,0.948066127886668,0.529994959987977,0.318674421847461,NA,NA,NA,NA,NA,NA,1.30529856937178,0.68565466275807,0.293036501289485,0.0554978181224646,0.0376593541888619,0.0708609336143395,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-39","heavy",2000,"t",0.49,0.942605913515403,0.481061469025913,0.328858179120972,NA,NA,NA,NA,NA,NA,1.26313199977869,0.608911943374379,0.28416855563027,0.0533373921451953,0.0396305405538579,0.0698553962132728,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-40","heavy",2000,"t",0.5125,0.96771336053629,0.49357757701917,0.264309973303689,NA,NA,NA,NA,NA,NA,1.30935169957871,0.665074155799664,0.228153470342267,0.0518738998882476,0.0393701450654344,0.0684055552184517,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-41","heavy",2000,"t",0.476,0.981458234410108,0.51132526518408,0.282828452583732,NA,NA,NA,NA,NA,NA,1.3476390165704,0.697643233469438,0.245387461776886,0.0551413963138742,0.0421514651329247,0.0702845585248301,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-42","heavy",2000,"t",0.495,0.948087486578811,0.521553139511428,0.347053243660489,NA,NA,NA,NA,NA,NA,1.31676320251118,0.65579079572026,0.292057634737596,0.0538282701486799,0.0385697400308191,0.0705349934246627,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-43","heavy",2000,"t",0.479,0.956399502541107,0.495238208490669,0.291254421857314,NA,NA,NA,NA,NA,NA,1.29879049444265,0.642076476049948,0.270150595732069,0.0552208016331942,0.0388991289422495,0.0715779621155427,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-44","heavy",2000,"t",0.499,0.984927991184747,0.499481680998433,0.235846360298712,NA,NA,NA,NA,NA,NA,1.31436151412441,0.625366281947203,0.198168734452724,0.0541075304612115,0.0351527672185861,0.0712924320503175,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-45","heavy",2000,"t",0.4905,0.972328165683994,0.521859687366294,0.351170196330595,NA,NA,NA,NA,NA,NA,1.30850369646178,0.683304342944665,0.322503373633548,0.0540604084158441,0.0361446124262736,0.0671457333941517,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-46","heavy",2000,"t",0.5055,0.991299614018038,0.517096740548534,0.28820708925637,NA,NA,NA,NA,NA,NA,1.36641145821526,0.687277692652334,0.208596408181671,0.0558941267084139,0.0406778401235202,0.0710132744071932,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-47","heavy",2000,"t",0.499,1.03757203770346,0.510498256212349,0.246270852998454,NA,NA,NA,NA,NA,NA,1.36092973038113,0.63629611219885,0.236556582176327,0.0551517161189947,0.0323635345396712,0.0694748742785564,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-48","heavy",2000,"t",0.4835,0.973390392825945,0.502707887161898,0.295808220382916,NA,NA,NA,NA,NA,NA,1.29479579708627,0.647308830096775,0.293760292782568,0.0520078976533562,0.0356186149932969,0.0674426893935458,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-49","heavy",2000,"t",0.5,0.949681492332999,0.520068713401349,0.302520323758787,NA,NA,NA,NA,NA,NA,1.28728052330971,0.640812725048646,0.282809675585073,0.0533040036408205,0.0447660546233487,0.0673546745726673,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-50","heavy",2000,"t",0.504,1.03379304236213,0.473825289445097,0.242342330052733,NA,NA,NA,NA,NA,NA,1.35214856328736,0.612530436203622,0.219721659662434,0.0543689272733611,0.0385085574533156,0.0691762196023727,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-51","heavy",2000,"t",0.476,0.987819827957815,0.490971352523716,0.269152635231691,NA,NA,NA,NA,NA,NA,1.31482544549257,0.649156404113953,0.23371175402709,0.052855158168533,0.0362578536151995,0.0692685896987696,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-52","heavy",2000,"t",0.518,1.00224227832348,0.494150361823533,0.298349723895863,NA,NA,NA,NA,NA,NA,1.32385675844989,0.615023276649039,0.276400422363514,0.0530262353182835,0.0388670490424118,0.0696975931852534,NA,NA,NA,NA,NA,NA,NA,NA,NA
